video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,028 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=535 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,107 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=524 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,188 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=525 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,268 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=526 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,347 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=527 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,445 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=528 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,616 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=529 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,749 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=530 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:06,918 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=531 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,096 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=532 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,217 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=533 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,337 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=534 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,418 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=535 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,507 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=536 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,595 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=537 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,687 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=538 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,782 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=539 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,870 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=540 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:07,955 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=541 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,039 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=542 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,122 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=543 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,205 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=544 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,289 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=545 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,371 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=546 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,460 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=547 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,540 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=536 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,620 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=537 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,701 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=538 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,779 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=539 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,858 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=540 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:08,936 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=541 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,015 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=542 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,094 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=543 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,174 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=544 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,254 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=545 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,333 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=546 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,412 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=547 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,498 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=548 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,632 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=549 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,714 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=550 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,796 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=551 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,877 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=552 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:09,958 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=553 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,038 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=554 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,119 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=555 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,201 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=556 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,282 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=557 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,363 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=558 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,446 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=559 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,530 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=548 detections=5
