frame_count	class	track_id	first_frame	last_frame	global_id
107	person	2	0	113	d084a089-39e9-46d7-8b34-e319794fcf5a:person:2
92	person	1	0	92	d084a089-39e9-46d7-8b34-e319794fcf5a:person:1
81	person	23	15	142	d084a089-39e9-46d7-8b34-e319794fcf5a:person:23
77	person	21	13	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:21
63	person	24	34	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:24
62	person	8	0	142	d084a089-39e9-46d7-8b34-e319794fcf5a:person:8
56	person	17	0	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:17
43	person	9	1	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:9
41	person	20	0	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:20
39	person	28	33	141	d084a089-39e9-46d7-8b34-e319794fcf5a:person:28
38	person	27	30	141	d084a089-39e9-46d7-8b34-e319794fcf5a:person:27
36	car	35	90	142	d084a089-39e9-46d7-8b34-e319794fcf5a:car:35
29	car	29	36	143	d084a089-39e9-46d7-8b34-e319794fcf5a:car:29
29	person	3	0	37	d084a089-39e9-46d7-8b34-e319794fcf5a:person:3
29	person	33	63	141	d084a089-39e9-46d7-8b34-e319794fcf5a:person:33
28	person	30	61	142	d084a089-39e9-46d7-8b34-e319794fcf5a:person:30
26	car	36	94	142	d084a089-39e9-46d7-8b34-e319794fcf5a:car:36
24	car	7	72	141	d084a089-39e9-46d7-8b34-e319794fcf5a:car:7
23	truck	39	109	142	d084a089-39e9-46d7-8b34-e319794fcf5a:truck:39
21	car	31	64	113	d084a089-39e9-46d7-8b34-e319794fcf5a:car:31
20	car	22	9	58	d084a089-39e9-46d7-8b34-e319794fcf5a:car:22
20	car	30	39	143	d084a089-39e9-46d7-8b34-e319794fcf5a:car:30
17	car	25	37	101	d084a089-39e9-46d7-8b34-e319794fcf5a:car:25
16	person	37	97	141	d084a089-39e9-46d7-8b34-e319794fcf5a:person:37
15	car	19	10	59	d084a089-39e9-46d7-8b34-e319794fcf5a:car:19
13	car	32	54	143	d084a089-39e9-46d7-8b34-e319794fcf5a:car:32
13	person	13	0	39	d084a089-39e9-46d7-8b34-e319794fcf5a:person:13
12	person	6	1	17	d084a089-39e9-46d7-8b34-e319794fcf5a:person:6
11	truck	32	110	140	d084a089-39e9-46d7-8b34-e319794fcf5a:truck:32
10	car	23	56	83	d084a089-39e9-46d7-8b34-e319794fcf5a:car:23
10	car	27	43	82	d084a089-39e9-46d7-8b34-e319794fcf5a:car:27
10	car	28	55	82	d084a089-39e9-46d7-8b34-e319794fcf5a:car:28
9	car	38	103	115	d084a089-39e9-46d7-8b34-e319794fcf5a:car:38
9	person	4	0	53	d084a089-39e9-46d7-8b34-e319794fcf5a:person:4
9	person	34	63	131	d084a089-39e9-46d7-8b34-e319794fcf5a:person:34
7	car	14	1	23	d084a089-39e9-46d7-8b34-e319794fcf5a:car:14
7	car	33	107	143	d084a089-39e9-46d7-8b34-e319794fcf5a:car:33
5	person	40	130	142	d084a089-39e9-46d7-8b34-e319794fcf5a:person:40
4	car	12	0	51	d084a089-39e9-46d7-8b34-e319794fcf5a:car:12
4	person	15	0	66	d084a089-39e9-46d7-8b34-e319794fcf5a:person:15
3	car	10	0	2	d084a089-39e9-46d7-8b34-e319794fcf5a:car:10
3	car	11	1	56	d084a089-39e9-46d7-8b34-e319794fcf5a:car:11
3	car	18	0	35	d084a089-39e9-46d7-8b34-e319794fcf5a:car:18
3	car	21	0	72	d084a089-39e9-46d7-8b34-e319794fcf5a:car:21
3	person	7	0	2	d084a089-39e9-46d7-8b34-e319794fcf5a:person:7
3	person	11	0	6	d084a089-39e9-46d7-8b34-e319794fcf5a:person:11
3	person	25	24	30	d084a089-39e9-46d7-8b34-e319794fcf5a:person:25
3	person	26	37	71	d084a089-39e9-46d7-8b34-e319794fcf5a:person:26
3	person	35	131	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:35
2	car	16	0	1	d084a089-39e9-46d7-8b34-e319794fcf5a:car:16
2	car	24	21	45	d084a089-39e9-46d7-8b34-e319794fcf5a:car:24
2	car	26	27	30	d084a089-39e9-46d7-8b34-e319794fcf5a:car:26
2	person	5	0	2	d084a089-39e9-46d7-8b34-e319794fcf5a:person:5
2	person	31	48	69	d084a089-39e9-46d7-8b34-e319794fcf5a:person:31
2	person	32	64	97	d084a089-39e9-46d7-8b34-e319794fcf5a:person:32
2	person	36	140	143	d084a089-39e9-46d7-8b34-e319794fcf5a:person:36
2	person	41	139	142	d084a089-39e9-46d7-8b34-e319794fcf5a:person:41
1	car	5	1	1	d084a089-39e9-46d7-8b34-e319794fcf5a:car:5
1	car	6	0	0	d084a089-39e9-46d7-8b34-e319794fcf5a:car:6
1	car	8	2	2	d084a089-39e9-46d7-8b34-e319794fcf5a:car:8
1	car	9	0	0	d084a089-39e9-46d7-8b34-e319794fcf5a:car:9
1	car	13	2	2	d084a089-39e9-46d7-8b34-e319794fcf5a:car:13
1	person	14	0	0	d084a089-39e9-46d7-8b34-e319794fcf5a:person:14
1	person	16	8	8	d084a089-39e9-46d7-8b34-e319794fcf5a:person:16
1	person	18	10	10	d084a089-39e9-46d7-8b34-e319794fcf5a:person:18
1	person	19	0	0	d084a089-39e9-46d7-8b34-e319794fcf5a:person:19
1	person	29	55	55	d084a089-39e9-46d7-8b34-e319794fcf5a:person:29
