video_uuid	video	frame_count	first_frame	last_frame	global_id
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	90	0	91	fb29539e-7040-4375-af07-c0deb007cfa7:person:1
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	100	0	114	fb29539e-7040-4375-af07-c0deb007cfa7:person:2
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	28	0	32	fb29539e-7040-4375-af07-c0deb007cfa7:person:3
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	9	0	54	fb29539e-7040-4375-af07-c0deb007cfa7:person:4
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	0	2	fb29539e-7040-4375-af07-c0deb007cfa7:person:5
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	0	0	fb29539e-7040-4375-af07-c0deb007cfa7:car:6
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	0	2	fb29539e-7040-4375-af07-c0deb007cfa7:person:7
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	78	0	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:8
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	0	0	fb29539e-7040-4375-af07-c0deb007cfa7:car:9
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	0	2	fb29539e-7040-4375-af07-c0deb007cfa7:car:10
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	0	6	fb29539e-7040-4375-af07-c0deb007cfa7:person:11
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	0	49	fb29539e-7040-4375-af07-c0deb007cfa7:car:12
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	14	0	40	fb29539e-7040-4375-af07-c0deb007cfa7:person:13
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	0	0	fb29539e-7040-4375-af07-c0deb007cfa7:person:14
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	0	66	fb29539e-7040-4375-af07-c0deb007cfa7:person:15
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	0	1	fb29539e-7040-4375-af07-c0deb007cfa7:car:16
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	50	0	141	fb29539e-7040-4375-af07-c0deb007cfa7:person:17
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	0	35	fb29539e-7040-4375-af07-c0deb007cfa7:car:18
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	0	0	fb29539e-7040-4375-af07-c0deb007cfa7:person:19
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	43	0	141	fb29539e-7040-4375-af07-c0deb007cfa7:person:20
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	0	73	fb29539e-7040-4375-af07-c0deb007cfa7:car:21
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	1	1	fb29539e-7040-4375-af07-c0deb007cfa7:car:5
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	12	1	17	fb29539e-7040-4375-af07-c0deb007cfa7:person:6
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	25	1	75	fb29539e-7040-4375-af07-c0deb007cfa7:person:9
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	1	2	fb29539e-7040-4375-af07-c0deb007cfa7:car:11
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	8	1	56	fb29539e-7040-4375-af07-c0deb007cfa7:car:14
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	2	2	fb29539e-7040-4375-af07-c0deb007cfa7:car:8
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	2	2	fb29539e-7040-4375-af07-c0deb007cfa7:car:13
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	8	8	fb29539e-7040-4375-af07-c0deb007cfa7:person:16
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	20	9	56	fb29539e-7040-4375-af07-c0deb007cfa7:car:22
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	10	10	fb29539e-7040-4375-af07-c0deb007cfa7:person:18
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	20	10	61	fb29539e-7040-4375-af07-c0deb007cfa7:car:19
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	41	13	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:21
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	84	15	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:23
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	21	45	fb29539e-7040-4375-af07-c0deb007cfa7:car:24
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	24	48	fb29539e-7040-4375-af07-c0deb007cfa7:person:25
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	27	30	fb29539e-7040-4375-af07-c0deb007cfa7:car:26
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	39	30	142	fb29539e-7040-4375-af07-c0deb007cfa7:person:27
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	18	33	104	fb29539e-7040-4375-af07-c0deb007cfa7:person:28
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	34	92	fb29539e-7040-4375-af07-c0deb007cfa7:person:24
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	19	36	75	fb29539e-7040-4375-af07-c0deb007cfa7:car:29
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	13	37	80	fb29539e-7040-4375-af07-c0deb007cfa7:car:30
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	37	81	fb29539e-7040-4375-af07-c0deb007cfa7:person:31
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	37	83	fb29539e-7040-4375-af07-c0deb007cfa7:person:32
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	41	46	fb29539e-7040-4375-af07-c0deb007cfa7:car:25
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	33	41	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:26
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	32	49	141	fb29539e-7040-4375-af07-c0deb007cfa7:person:33
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	11	55	81	fb29539e-7040-4375-af07-c0deb007cfa7:car:34
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	9	56	83	fb29539e-7040-4375-af07-c0deb007cfa7:car:27
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	5	59	80	fb29539e-7040-4375-af07-c0deb007cfa7:person:35
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	30	59	142	fb29539e-7040-4375-af07-c0deb007cfa7:person:36
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	63	85	fb29539e-7040-4375-af07-c0deb007cfa7:person:37
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	63	98	fb29539e-7040-4375-af07-c0deb007cfa7:person:38
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	63	96	fb29539e-7040-4375-af07-c0deb007cfa7:person:39
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	13	64	100	fb29539e-7040-4375-af07-c0deb007cfa7:car:28
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	64	71	fb29539e-7040-4375-af07-c0deb007cfa7:person:29
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	25	67	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:30
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	16	68	111	fb29539e-7040-4375-af07-c0deb007cfa7:car:32
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	24	70	143	fb29539e-7040-4375-af07-c0deb007cfa7:car:40
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	70	129	fb29539e-7040-4375-af07-c0deb007cfa7:person:41
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	4	71	83	fb29539e-7040-4375-af07-c0deb007cfa7:car:31
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	21	73	143	fb29539e-7040-4375-af07-c0deb007cfa7:person:42
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	76	88	fb29539e-7040-4375-af07-c0deb007cfa7:person:34
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	91	91	fb29539e-7040-4375-af07-c0deb007cfa7:person:43
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	18	91	142	fb29539e-7040-4375-af07-c0deb007cfa7:car:44
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	14	91	141	fb29539e-7040-4375-af07-c0deb007cfa7:person:45
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	17	92	143	fb29539e-7040-4375-af07-c0deb007cfa7:car:35
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	24	95	143	fb29539e-7040-4375-af07-c0deb007cfa7:car:39
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	95	98	fb29539e-7040-4375-af07-c0deb007cfa7:person:40
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	10	96	142	fb29539e-7040-4375-af07-c0deb007cfa7:car:46
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	15	97	143	fb29539e-7040-4375-af07-c0deb007cfa7:car:37
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	17	98	141	fb29539e-7040-4375-af07-c0deb007cfa7:car:41
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	7	101	130	fb29539e-7040-4375-af07-c0deb007cfa7:person:47
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	5	102	114	fb29539e-7040-4375-af07-c0deb007cfa7:car:38
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	6	103	115	fb29539e-7040-4375-af07-c0deb007cfa7:car:43
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	105	113	fb29539e-7040-4375-af07-c0deb007cfa7:car:48
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	107	107	fb29539e-7040-4375-af07-c0deb007cfa7:car:49
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	10	108	140	fb29539e-7040-4375-af07-c0deb007cfa7:truck:40
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	13	111	141	fb29539e-7040-4375-af07-c0deb007cfa7:truck:46
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	11	113	142	fb29539e-7040-4375-af07-c0deb007cfa7:truck:49
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	119	138	fb29539e-7040-4375-af07-c0deb007cfa7:person:50
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	7	119	141	fb29539e-7040-4375-af07-c0deb007cfa7:person:51
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	2	130	134	fb29539e-7040-4375-af07-c0deb007cfa7:person:48
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	5	131	142	fb29539e-7040-4375-af07-c0deb007cfa7:person:52
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	3	131	142	fb29539e-7040-4375-af07-c0deb007cfa7:person:53
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	132	132	fb29539e-7040-4375-af07-c0deb007cfa7:person:54
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	134	134	fb29539e-7040-4375-af07-c0deb007cfa7:person:44
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	138	138	fb29539e-7040-4375-af07-c0deb007cfa7:person:49
fb29539e-7040-4375-af07-c0deb007cfa7	example.mp4	1	142	142	fb29539e-7040-4375-af07-c0deb007cfa7:person:55
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	73	0	92	33962262-3842-4b62-8b28-ab2599d680e2:person:1
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	81	0	111	33962262-3842-4b62-8b28-ab2599d680e2:person:2
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	20	0	54	33962262-3842-4b62-8b28-ab2599d680e2:person:3
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	10	0	54	33962262-3842-4b62-8b28-ab2599d680e2:person:4
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	0	2	33962262-3842-4b62-8b28-ab2599d680e2:person:5
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	0	0	33962262-3842-4b62-8b28-ab2599d680e2:car:6
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	0	2	33962262-3842-4b62-8b28-ab2599d680e2:person:7
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	80	0	142	33962262-3842-4b62-8b28-ab2599d680e2:person:8
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	0	0	33962262-3842-4b62-8b28-ab2599d680e2:car:9
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	0	2	33962262-3842-4b62-8b28-ab2599d680e2:car:10
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	0	6	33962262-3842-4b62-8b28-ab2599d680e2:person:11
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	7	0	57	33962262-3842-4b62-8b28-ab2599d680e2:car:12
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	4	0	9	33962262-3842-4b62-8b28-ab2599d680e2:person:13
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	0	0	33962262-3842-4b62-8b28-ab2599d680e2:person:14
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	4	0	66	33962262-3842-4b62-8b28-ab2599d680e2:person:15
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	0	1	33962262-3842-4b62-8b28-ab2599d680e2:car:16
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	19	0	129	33962262-3842-4b62-8b28-ab2599d680e2:person:17
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	0	0	33962262-3842-4b62-8b28-ab2599d680e2:car:18
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	0	0	33962262-3842-4b62-8b28-ab2599d680e2:person:19
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	43	0	143	33962262-3842-4b62-8b28-ab2599d680e2:person:20
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	6	0	82	33962262-3842-4b62-8b28-ab2599d680e2:car:21
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	1	1	33962262-3842-4b62-8b28-ab2599d680e2:car:5
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	1	15	33962262-3842-4b62-8b28-ab2599d680e2:person:6
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	25	1	75	33962262-3842-4b62-8b28-ab2599d680e2:person:9
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	1	2	33962262-3842-4b62-8b28-ab2599d680e2:car:11
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	10	1	43	33962262-3842-4b62-8b28-ab2599d680e2:car:14
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	2	2	33962262-3842-4b62-8b28-ab2599d680e2:car:8
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	2	83	33962262-3842-4b62-8b28-ab2599d680e2:car:13
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	8	8	33962262-3842-4b62-8b28-ab2599d680e2:person:16
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	7	9	47	33962262-3842-4b62-8b28-ab2599d680e2:car:22
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	41	10	143	33962262-3842-4b62-8b28-ab2599d680e2:person:18
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	29	10	142	33962262-3842-4b62-8b28-ab2599d680e2:car:19
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	63	13	141	33962262-3842-4b62-8b28-ab2599d680e2:person:23
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	58	14	142	33962262-3842-4b62-8b28-ab2599d680e2:person:21
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	17	20	33962262-3842-4b62-8b28-ab2599d680e2:car:24
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	17	50	33962262-3842-4b62-8b28-ab2599d680e2:person:25
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	37	17	142	33962262-3842-4b62-8b28-ab2599d680e2:person:26
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	17	31	33962262-3842-4b62-8b28-ab2599d680e2:person:27
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	6	17	39	33962262-3842-4b62-8b28-ab2599d680e2:person:28
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	21	69	33962262-3842-4b62-8b28-ab2599d680e2:car:23
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	34	23	143	33962262-3842-4b62-8b28-ab2599d680e2:person:29
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	24	44	33962262-3842-4b62-8b28-ab2599d680e2:person:24
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	29	25	143	33962262-3842-4b62-8b28-ab2599d680e2:car:30
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	26	37	33962262-3842-4b62-8b28-ab2599d680e2:car:25
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	42	28	141	33962262-3842-4b62-8b28-ab2599d680e2:person:31
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	10	30	57	33962262-3842-4b62-8b28-ab2599d680e2:car:32
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	30	30	33962262-3842-4b62-8b28-ab2599d680e2:person:33
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	64	33	142	33962262-3842-4b62-8b28-ab2599d680e2:person:34
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	37	42	33962262-3842-4b62-8b28-ab2599d680e2:car:29
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	37	37	33962262-3842-4b62-8b28-ab2599d680e2:person:30
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	39	45	33962262-3842-4b62-8b28-ab2599d680e2:car:35
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	48	78	33962262-3842-4b62-8b28-ab2599d680e2:person:36
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	17	49	103	33962262-3842-4b62-8b28-ab2599d680e2:car:31
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	52	67	33962262-3842-4b62-8b28-ab2599d680e2:person:32
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	54	80	33962262-3842-4b62-8b28-ab2599d680e2:car:33
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	55	83	33962262-3842-4b62-8b28-ab2599d680e2:car:27
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	55	55	33962262-3842-4b62-8b28-ab2599d680e2:car:28
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	10	57	84	33962262-3842-4b62-8b28-ab2599d680e2:car:37
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	63	71	33962262-3842-4b62-8b28-ab2599d680e2:person:35
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	60	65	143	33962262-3842-4b62-8b28-ab2599d680e2:car:38
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	14	65	128	33962262-3842-4b62-8b28-ab2599d680e2:person:39
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	27	68	141	33962262-3842-4b62-8b28-ab2599d680e2:person:40
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	31	73	143	33962262-3842-4b62-8b28-ab2599d680e2:person:41
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	79	101	33962262-3842-4b62-8b28-ab2599d680e2:person:42
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	83	98	33962262-3842-4b62-8b28-ab2599d680e2:person:37
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	23	90	141	33962262-3842-4b62-8b28-ab2599d680e2:car:43
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	91	142	33962262-3842-4b62-8b28-ab2599d680e2:person:44
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	10	94	141	33962262-3842-4b62-8b28-ab2599d680e2:car:45
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	96	143	33962262-3842-4b62-8b28-ab2599d680e2:car:40
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	102	114	33962262-3842-4b62-8b28-ab2599d680e2:car:46
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	5	103	115	33962262-3842-4b62-8b28-ab2599d680e2:car:39
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	2	107	143	33962262-3842-4b62-8b28-ab2599d680e2:car:44
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	12	109	142	33962262-3842-4b62-8b28-ab2599d680e2:truck:40
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	6	109	142	33962262-3842-4b62-8b28-ab2599d680e2:car:42
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	110	140	33962262-3842-4b62-8b28-ab2599d680e2:truck:44
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	1	110	110	33962262-3842-4b62-8b28-ab2599d680e2:person:45
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	11	111	141	33962262-3842-4b62-8b28-ab2599d680e2:truck:47
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	9	119	143	33962262-3842-4b62-8b28-ab2599d680e2:person:46
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	130	142	33962262-3842-4b62-8b28-ab2599d680e2:person:43
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	3	131	143	33962262-3842-4b62-8b28-ab2599d680e2:person:47
33962262-3842-4b62-8b28-ab2599d680e2	example_alt.mp4	4	138	143	33962262-3842-4b62-8b28-ab2599d680e2:person:48
