video_uuid	video	frame_count	first_frame	last_frame	global_id
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	80	0	91	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:1
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	108	0	113	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:2
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	17	0	21	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:3
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	9	0	53	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:4
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	0	2	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:5
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	0	0	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:6
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	2	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:7
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	78	0	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:8
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	0	0	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:9
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	2	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:10
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	6	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:11
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	4	0	49	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:12
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	4	0	9	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:13
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	0	0	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:14
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	8	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:15
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	0	1	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:16
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	12	0	129	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:17
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	0	0	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:18
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	0	0	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:19
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	10	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:20
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	0	22	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:21
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	1	1	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:5
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	14	1	63	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:6
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	26	1	75	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:9
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	1	56	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:11
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	15	1	71	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:14
